graph_id,num_nodes
0,71
1,9
2,116
3,47
4,107
5,86
6,65
7,67
8,135
9,26
10,14
11,67
12,4
13,146
14,32
15,86
16,91
17,103
18,114
19,14
20,30
21,58
22,47
23,95
24,145
25,53
26,47
27,51
28,85
29,10
30,117
31,45
32,70
33,74
34,138
35,48
36,75
37,30
38,94
39,30
40,19
41,56
42,101
43,27
44,102
45,63
46,101
47,46
48,113
49,41
50,48
51,97
52,131
53,139
54,4
55,65
56,124
57,135
58,82
59,46
60,98
61,47
62,57
63,51
64,40
65,45
66,98
67,147
68,97
69,64
70,23
71,120
72,41
73,81
74,93
75,153
76,105
77,37
78,26
79,92
80,28
81,60
82,4
83,26
84,55
85,54
86,54
87,84
88,6
89,156
90,92
91,18
92,34
93,24
94,57
95,116
96,162
97,41
98,43
99,112
100,73
101,30
102,72
103,52
104,91
105,91
106,37
107,27
108,139
109,52
110,50
111,13
112,120
113,147
114,71
115,71
116,53
117,49
118,89
119,71
120,118
121,58
122,23
123,17
124,120
125,80
126,15
127,37
128,21
129,74
130,43
131,22
132,111
133,44
134,23
135,30
136,66
137,111
138,140
139,63
140,5
141,72
142,85
143,72
144,54
145,117
146,89
147,161
148,88
149,94
150,30
151,72
152,39
153,20
154,140
155,113
156,82
157,77
158,63
159,27
160,88
161,72
162,49
163,113
164,14
165,7
166,38
167,14
168,47
169,56
170,94
171,112
172,56
173,17
174,35
175,68
176,16
177,97
178,55
179,27
180,124
181,150
182,101
183,41
184,60
185,95
186,62
187,57
188,166
189,77
190,13
191,38
192,105
193,42
194,3
195,23
196,68
197,53
198,32
199,99
200,34
201,39
202,26
203,6
204,135
205,112
206,72
207,86
208,125
209,134
210,40
211,79
212,87
213,48
214,79
215,65
216,110
217,53
218,89
219,112
220,19
221,34
222,51
223,38
224,60
225,31
226,53
227,36
228,35
229,47
230,69
231,90
232,53
233,56
234,112
235,20
236,9
237,122
238,65
239,21
240,50
241,106
242,134
243,63
244,72
245,3
246,82
247,9
248,101
249,56
250,71
251,39
252,64
253,46
254,47
255,25
256,82
257,28
258,7
259,93
260,103
261,76
262,69
263,48
264,121
265,125
266,72
267,23
268,67
269,79
270,19
271,36
272,35
273,173
274,55
275,10
276,58
277,13
278,54
279,71
280,30
281,93
282,6
283,18
284,101
285,76
286,42
287,19
288,28
289,82
290,41
291,61
292,85
293,22
294,118
295,132
296,68
297,148
298,4
299,71
300,55
301,114
302,59
303,44
304,98
305,23
306,128
307,36
308,91
309,53
310,68
311,9
312,105
313,73
314,81
315,116
316,9
317,32
318,42
319,69
320,55
321,76
322,70
323,74
324,73
325,64
326,50
327,8
328,122
329,112
330,27
331,65
332,38
333,69
334,162
335,87
336,77
337,42
338,67
339,81
340,137
341,157
342,97
343,87
344,147
345,89
346,43
347,130
348,29
349,47
350,16
351,32
352,39
353,92
354,37
355,25
356,161
357,25
358,4
359,35
360,71
361,52
362,60
363,43
364,107
365,90
366,56
367,21
368,82
369,17
370,117
371,87
372,37
373,7
374,117
375,61
376,149
377,34
378,72
379,50
380,28
381,42
382,74
383,10
384,25
385,97
386,165
387,81
388,77
389,51
390,43
391,29
392,75
393,11
394,55
395,82
396,106
397,114
398,49
399,93
400,20
401,50
402,112
403,43
404,50
405,46
406,21
407,78
408,64
409,94
410,50
411,28
412,104
413,46
414,63
415,52
416,93
417,43
418,31
419,113
420,61
421,61
422,157
423,31
424,69
425,118
426,136
427,66
428,35
429,126
430,109
431,101
432,94
433,26
434,59
435,18
436,91
437,91
438,15
439,87
440,37
441,75
442,58
443,101
444,174
445,16
446,54
447,60
448,74
449,123
450,64
451,77
452,24
453,90
454,51
455,47
456,19
457,42
458,103
459,45
460,57
461,3
462,68
463,21
464,35
465,83
466,89
467,105
468,83
469,50
470,50
471,19
472,98
473,71
474,40
475,8
476,62
477,20
478,31
479,124
480,57
481,67
482,97
483,79
484,79
485,145
486,44
487,20
488,21
489,82
490,18
491,119
492,66
493,25
494,91
495,36
496,15
497,3
498,46
499,112
500,89
501,76
502,24
503,40
504,75
505,146
506,13
507,135
508,18
509,121
510,38
511,43
512,57
513,122
514,9
515,68
516,23
517,103
518,43
519,60
520,5
521,85
522,15
523,78
524,136
525,80
526,86
527,34
528,70
529,56
530,48
531,63
532,132
533,73
534,36
535,66
536,99
537,105
538,142
539,55
540,90
541,59
542,116
543,75
544,11
545,130
546,25
547,33
548,27
549,136
550,43
551,125
552,27
553,38
554,109
555,23
556,92
557,49
558,40
559,19
560,12
561,91
562,126
563,60
564,28
565,55
566,44
567,93
568,131
569,75
570,39
571,105
572,28
573,62
574,71
575,48
576,100
577,79
578,51
579,85
580,94
581,56
582,103
583,93
584,23
585,70
586,29
587,89
588,59
589,16
590,168
591,35
592,140
593,57
594,55
595,92
596,53
597,85
598,120
599,41
600,127
601,7
602,6
603,142
604,24
605,46
606,109
607,25
608,30
609,21
610,64
611,59
612,171
613,70
614,75
615,108
616,70
617,49
618,9
619,16
620,27
621,16
622,26
623,28
624,100
625,25
626,81
627,62
628,89
629,84
630,127
631,63
632,82
633,131
634,44
635,83
636,7
637,97
638,18
639,60
640,59
641,57
642,39
643,118
644,101
645,43
646,44
647,40
648,47
649,64
650,99
651,103
652,52
653,74
654,45
655,71
656,133
657,55
658,57
659,30
660,106
661,31
662,62
663,78
664,49
665,137
666,13
667,72
668,58
669,47
670,38
671,66
672,129
673,113
674,22
675,77
676,46
677,28
678,6
679,95
680,48
681,77
682,77
683,31
684,107
685,104
686,17
687,31
688,83
689,131
690,18
691,91
692,43
693,70
694,127
695,69
696,57
697,64
698,148
699,85
700,29
701,53
702,98
703,34
704,19
705,55
706,90
707,107
708,54
709,113
710,66
711,106
712,165
713,5
714,38
715,122
716,79
717,122
718,84
719,91
720,39
721,151
722,42
723,71
724,142
725,7
726,39
727,70
728,24
729,94
730,10
731,86
732,105
733,38
734,97
735,50
736,22
737,105
738,67
739,62
740,81
741,63
742,4
743,120
744,152
745,78
746,79
747,49
748,86
749,166
750,77
751,87
752,102
753,42
754,66
755,57
756,19
757,139
758,83
759,34
760,60
761,123
762,11
763,72
764,14
765,48
766,55
767,158
768,74
769,35
770,55
771,103
772,181
773,12
774,93
775,154
776,36
777,101
778,92
779,39
780,15
781,63
782,8
783,104
784,154
785,20
786,82
787,82
788,56
789,36
790,56
791,27
792,73
793,90
794,131
795,10
796,4
797,23
798,35
799,27
800,139
801,27
802,73
803,66
804,23
805,41
806,193
807,70
808,79
809,77
810,67
811,56
812,61
813,80
814,81
815,136
816,138
817,8
818,70
819,55
820,34
821,32
822,98
823,117
824,41
825,47
826,108
827,85
828,43
829,37
830,45
831,111
832,9
833,47
834,64
835,117
836,139
837,37
838,109
839,77
840,31
841,101
842,50
843,61
844,83
845,4
846,15
847,4
848,43
849,33
850,78
851,79
852,82
853,159
854,25
855,62
856,37
857,69
858,66
859,56
860,34
861,79
862,42
863,12
864,11
865,40
866,97
867,28
868,40
869,51
870,83
871,55
872,151
873,27
874,117
875,74
876,163
877,78
878,59
879,76
880,40
881,56
882,95
883,23
884,42
885,43
886,61
887,55
888,108
889,15
890,88
891,60
892,100
893,88
894,80
895,96
896,62
897,47
898,66
899,47
900,50
901,44
902,5
903,63
904,61
905,55
906,59
907,51
908,30
909,18
910,38
911,49
912,63
913,67
914,23
915,96
916,93
917,96
918,41
919,45
920,48
921,12
922,121
923,73
924,142
925,57
926,6
927,70
928,114
929,74
930,17
931,79
932,77
933,77
934,36
935,77
936,82
937,8
938,31
939,81
940,70
941,117
942,32
943,17
944,17
945,95
946,23
947,43
948,63
949,75
950,99
951,46
952,57
953,56
954,31
955,45
956,56
957,20
958,86
959,180
960,24
961,23
962,33
963,59
964,27
