graph_id,num_nodes
0,52
1,43
2,28
3,69
4,136
5,57
6,8
7,173
8,53
9,11
10,133
11,13
12,185
13,116
14,4
15,20
16,140
17,93
18,44
19,90
20,28
21,30
22,76
23,67
24,167
25,85
26,209
27,32
28,136
29,232
30,48
31,28
32,79
33,18
34,60
35,158
36,151
37,187
38,22
39,117
40,74
41,147
42,2
43,129
44,130
45,236
46,103
47,113
48,59
49,212
50,140
51,179
52,334
53,81
54,10
55,64
56,21
57,152
58,38
59,51
60,15
61,39
62,233
63,2
64,152
65,295
66,141
67,200
68,12
69,120
70,84
71,6
72,115
73,73
74,124
75,132
76,10
77,2
78,20
79,51
80,2
81,95
82,168
83,101
84,29
85,15
86,22
87,73
88,115
89,12
90,25
91,139
92,89
93,29
94,74
95,24
96,130
97,137
98,129
99,56
100,32
101,72
102,43
103,88
104,98
105,108
106,47
107,97
108,72
109,136
110,97
111,34
112,5
113,41
114,69
115,73
116,59
117,6
118,101
119,51
120,82
121,178
122,14
123,41
124,212
125,68
126,103
127,111
128,45
129,69
130,39
131,87
132,49
133,70
134,15
135,2
136,119
137,7
138,2
139,56
140,60
141,33
142,276
143,2
144,40
145,87
146,85
147,141
148,54
149,91
150,24
151,22
152,6
153,163
154,60
155,65
156,91
157,164
158,183
159,2
160,16
161,13
162,157
163,32
164,44
165,219
166,27
167,41
168,96
169,18
170,66
171,137
172,60
173,111
174,49
175,91
176,84
177,116
178,177
179,161
180,73
181,74
182,103
183,99
184,63
185,8
186,266
187,57
188,80
189,86
190,2
191,11
192,127
193,63
194,80
195,60
196,22
197,157
198,180
199,95
200,175
201,100
202,12
203,47
204,181
205,148
206,8
207,141
208,105
209,137
210,98
211,36
212,4
213,28
214,158
215,66
216,10
217,104
218,118
219,57
220,107
221,22
222,198
223,17
224,12
225,65
226,126
227,50
228,30
229,46
230,118
231,50
232,95
233,90
234,68
235,132
236,117
237,103
238,194
239,193
240,112
241,90
242,99
243,40
244,165
245,195
246,8
247,136
248,82
249,165
250,131
251,208
252,2
253,186
254,193
255,212
256,70
257,158
258,51
259,33
260,63
261,31
262,55
263,77
264,168
265,63
266,306
267,97
268,89
269,49
270,117
271,247
272,129
273,17
274,95
275,70
276,156
277,121
278,84
279,152
280,211
281,88
282,38
283,111
284,55
285,176
286,166
287,35
288,72
289,114
290,33
291,16
292,30
293,81
294,75
295,171
296,22
297,72
298,65
299,257
300,100
301,40
302,86
303,14
304,202
305,62
306,20
307,168
308,60
309,92
310,84
311,247
312,210
313,99
314,2
315,64
316,30
317,64
318,43
319,25
320,6
321,185
322,170
323,8
324,104
325,41
326,129
327,69
328,2
329,63
330,32
331,86
332,90
333,280
334,2
335,120
336,2
337,45
338,203
339,111
340,59
341,58
342,312
343,64
344,47
345,145
346,54
347,158
348,112
349,278
350,164
351,17
352,110
353,123
354,2
355,115
356,125
357,131
358,125
359,50
360,63
361,65
362,203
363,19
364,85
365,85
366,17
367,132
368,114
369,53
370,75
371,10
372,64
373,184
374,131
375,138
376,19
377,45
378,44
379,90
380,60
381,146
382,66
383,117
384,92
385,73
386,168
387,92
388,99
389,62
390,108
391,108
392,71
393,85
394,28
395,188
396,71
397,2
398,33
399,155
400,2
401,20
402,60
403,198
404,133
405,289
406,111
407,59
408,67
409,33
410,6
411,163
412,21
413,44
414,67
415,36
416,97
417,76
418,109
419,144
420,118
421,104
422,39
423,136
424,130
425,89
426,82
427,27
428,134
429,146
430,51
431,43
432,201
433,75
434,95
435,200
436,129
437,146
438,14
439,163
440,172
441,35
442,188
443,113
444,38
445,2
446,41
447,2
448,55
449,199
450,42
451,56
452,257
453,117
454,91
455,79
456,60
457,123
458,82
459,159
460,24
461,115
462,22
463,78
464,203
465,137
466,126
467,98
468,166
469,2
470,74
471,21
472,130
473,29
474,43
475,68
476,101
477,144
478,51
479,82
480,74
481,26
482,249
483,90
484,111
485,62
486,28
487,4
488,99
489,116
490,69
491,2
492,175
493,169
494,141
495,58
496,145
497,46
498,118
499,159
500,100
501,28
502,105
503,138
504,152
505,130
506,171
507,92
508,73
509,64
510,28
511,35
