graph_id,src,dst
0,7,8
0,8,7
0,8,10
0,10,8
4,9,12
4,12,9
9,7,11
9,11,7
14,8,11
14,11,8
19,9,12
19,12,9
21,7,8
21,8,7
21,9,10
21,10,9
22,6,7
22,7,6
22,9,10
22,10,9
26,9,11
26,11,9
28,5,6
28,6,5
28,7,8
28,8,7
28,8,9
28,9,8
29,7,8
29,8,7
29,8,10
29,10,8
33,7,11
33,11,7
41,11,12
41,12,11
43,10,12
43,12,10
51,8,11
51,11,8
53,11,12
53,12,11
55,9,10
55,10,9
55,11,12
55,12,11
56,9,10
56,10,9
56,11,12
56,12,11
60,11,12
60,12,11
63,7,8
63,8,7
63,9,10
63,10,9
70,11,12
70,12,11
72,9,11
72,11,9
75,10,11
75,11,10
75,12,13
75,13,12
76,10,11
76,11,10
76,12,13
76,13,12
78,7,6
78,6,7
79,11,12
79,12,11
80,6,7
80,7,6
80,9,10
80,10,9
82,5,4
82,4,5
83,5,4
83,4,5
84,5,4
84,4,5
85,5,6
85,6,5
85,7,8
85,8,7
85,8,9
85,9,8
86,5,4
86,4,5
86,9,11
86,11,9
87,5,4
87,4,5
88,8,9
88,9,8
92,10,12
92,12,10
94,11,12
94,12,11
94,13,14
94,14,13
95,11,12
95,12,11
95,13,14
95,14,13
96,7,11
96,11,7
97,7,11
97,11,7
98,7,11
98,11,7
99,5,4
99,4,5
100,10,11
100,11,10
101,7,11
101,11,7
101,9,12
101,12,9
102,7,11
102,11,7
103,3,2
103,2,3
106,9,10
106,10,9
107,9,10
107,10,9
107,11,12
107,12,11
108,9,10
108,10,9
108,11,12
108,12,11
109,5,4
109,4,5
110,10,11
110,11,10
111,7,6
111,6,7
112,9,8
112,8,9
113,9,8
113,8,9
114,9,8
114,8,9
115,11,12
115,12,11
116,11,12
116,12,11
116,13,14
116,14,13
117,9,8
117,8,9
117,11,12
117,12,11
118,9,8
118,8,9
119,11,12
119,12,11
119,13,14
119,14,13
120,5,4
120,4,5
120,9,10
120,10,9
120,3,2
120,2,3
121,9,10
121,10,9
122,9,10
122,10,9
122,11,12
122,12,11
124,9,10
124,10,9
124,11,12
124,12,11
125,3,2
125,2,3
128,10,11
128,11,10
133,5,4
133,4,5
134,8,5
134,5,8
136,8,12
136,12,8
138,10,11
138,11,10
138,12,13
138,13,12
139,5,4
139,4,5
139,3,2
139,2,3
140,3,2
140,2,3
141,3,2
141,2,3
142,3,2
142,2,3
142,11,12
142,12,11
143,10,11
143,11,10
143,12,13
143,13,12
144,10,11
144,11,10
148,10,12
148,12,10
150,6,5
150,5,6
150,4,3
150,3,4
151,10,11
151,11,10
151,12,13
151,13,12
152,8,9
152,9,8
156,1,2
156,3,2
156,2,1
156,2,3
157,9,11
157,11,9
162,10,11
162,11,10
162,12,13
162,13,12
163,3,2
163,2,3
164,6,3
164,3,6
169,3,2
169,2,3
172,10,11
172,11,10
173,9,12
173,12,9
175,9,12
175,12,9
177,3,2
177,2,3
180,9,10
180,10,9
181,4,3
181,3,4
184,11,12
184,12,11
185,4,3
185,3,4
185,2,1
185,1,2
186,2,1
186,1,2
187,2,1
187,1,2
188,2,1
188,1,2
188,11,12
188,12,11
190,10,11
190,11,10
190,12,13
190,13,12
191,7,3
191,3,7
192,2,1
192,1,2
193,2,1
193,1,2
194,2,1
194,1,2
195,10,11
195,11,10
196,2,1
196,1,2
196,10,12
196,12,10
197,2,1
197,1,2
198,4,3
198,3,4
200,10,11
200,11,10
200,12,13
200,13,12
201,10,11
201,11,10
205,10,11
205,11,10
205,12,13
205,13,12
207,9,10
207,10,9
208,3,2
208,2,3
209,7,3
209,3,7
211,11,12
211,12,11
213,10,11
213,11,10
213,12,13
213,13,12
214,5,4
214,4,5
215,8,5
215,5,8
217,3,2
217,2,3
220,9,10
220,10,9
224,3,2
224,2,3
227,10,11
227,11,10
229,10,12
229,12,10
232,5,10
232,10,5
233,5,10
233,10,5
234,5,10
234,10,5
235,5,10
235,10,5
235,7,11
235,11,7
236,5,10
236,10,5
243,9,12
243,12,9
244,9,12
244,12,9
247,3,2
247,2,3
250,11,12
250,12,11
252,9,10
252,10,9
253,4,3
253,3,4
254,4,3
254,3,4
257,12,13
257,13,12
261,10,11
261,11,10
262,8,12
262,12,8
267,8,9
267,9,8
269,10,12
269,12,10
273,7,6
273,6,7
274,9,10
274,10,9
274,11,12
274,12,11
275,7,6
275,6,7
276,7,6
276,6,7
277,7,6
277,6,7
277,9,12
277,12,9
278,7,6
278,6,7
279,9,10
279,10,9
279,11,12
279,12,11
280,3,2
280,2,3
281,9,10
281,10,9
282,3,2
282,2,3
287,10,11
287,11,10
287,12,13
287,13,12
288,5,4
288,4,5
289,5,4
289,4,5
290,5,4
290,4,5
294,3,2
294,2,3
296,5,4
296,4,5
296,9,11
296,11,9
297,5,4
297,4,5
298,5,4
298,4,5
300,9,2
300,5,4
300,4,5
300,3,2
300,2,9
300,2,3
301,3,2
301,2,3
302,3,2
302,2,3
303,3,2
303,2,3
303,11,12
303,12,11
304,9,10
304,10,9
304,11,12
304,12,11
305,10,3
305,3,10
306,10,11
306,11,10
306,12,13
306,13,12
307,3,2
307,2,3
308,3,2
308,2,3
308,10,11
308,11,10
310,3,2
310,2,3
310,5,4
310,4,5
311,3,2
311,2,3
314,9,10
314,10,9
315,5,4
315,4,5
317,3,7
317,7,3
318,12,13
318,13,12
319,2,1
319,1,2
322,10,11
