graph_id,src,dst
0,15,9
0,9,15
0,35,12
0,12,35
0,7,55
0,49,48
0,48,49
0,55,7
1,16,9
1,15,14
1,14,15
1,9,16
1,35,12
1,12,35
1,7,56
1,50,49
1,49,50
1,56,7
2,15,9
2,9,15
2,34,12
2,12,34
2,7,56
2,50,49
2,49,50
2,56,7
3,14,8
3,8,14
3,35,11
3,11,35
3,6,55
3,49,48
3,48,49
3,55,6
4,15,8
4,14,13
4,13,14
4,8,15
4,35,11
4,11,35
4,6,56
4,50,49
4,49,50
4,56,6
5,14,8
5,8,14
5,34,11
5,11,34
5,6,56
5,50,49
5,49,50
5,56,6
6,40,68
6,21,14
6,14,21
6,39,18
6,18,39
6,51,50
6,50,51
6,68,40
6,9,16
6,66,62
6,62,66
6,16,9
7,40,69
7,22,14
7,21,20
7,20,21
7,14,22
7,39,18
7,18,39
7,52,51
7,51,52
7,69,40
7,9,16
7,67,63
7,63,67
7,16,9
8,39,69
8,21,14
8,14,21
8,38,18
8,18,38
8,52,51
8,51,52
8,69,39
8,9,16
8,67,63
8,63,67
8,16,9
9,40,68
9,20,13
9,13,20
9,39,17
9,17,39
9,51,50
9,50,51
9,68,40
9,8,15
9,66,62
9,62,66
9,15,8
10,40,69
10,21,13
10,20,19
10,19,20
10,13,21
10,39,17
10,17,39
10,52,51
10,51,52
10,69,40
10,8,15
10,67,63
10,63,67
10,15,8
11,39,69
11,20,13
11,13,20
11,38,17
11,17,38
11,52,51
11,51,52
11,69,39
11,8,15
11,67,63
11,63,67
11,15,8
12,16,10
12,10,16
12,36,13
12,13,36
12,41,18
12,18,41
13,17,10
13,16,15
13,15,16
13,10,17
13,36,13
13,13,36
13,41,18
13,18,41
14,18,17
14,17,18
14,33,16
14,16,33
14,11,54
14,47,46
14,46,47
14,54,11
15,44,0
15,39,62
15,18,12
15,12,18
15,36,15
15,15,36
15,50,49
15,49,50
15,62,39
15,43,69
15,69,43
15,0,44
16,44,0
16,39,62
16,18,12
16,12,18
16,36,15
16,15,36
16,50,49
16,49,50
16,62,39
16,43,69
16,69,43
16,0,44
17,44,0
17,39,63
17,19,12
17,18,17
17,17,18
17,12,19
17,36,15
17,15,36
17,51,50
17,50,51
17,63,39
17,43,70
17,70,43
17,0,44
18,44,0
18,39,62
18,18,12
18,12,18
18,36,15
18,15,36
18,50,49
18,49,50
18,62,39
18,43,69
18,69,43
18,0,44
19,44,0
19,39,62
19,18,12
19,12,18
19,36,15
19,15,36
19,50,49
19,49,50
19,62,39
19,43,69
19,69,43
19,0,44
20,44,0
20,39,63
20,19,12
20,18,17
20,17,18
20,12,19
20,36,15
20,15,36
20,51,50
20,50,51
20,63,39
20,43,70
20,70,43
20,0,44
21,44,0
21,39,62
21,18,12
21,12,18
21,36,15
21,15,36
21,50,49
21,49,50
21,62,39
21,43,69
21,69,43
21,0,44
22,44,0
22,39,63
22,19,12
22,18,17
22,17,18
22,12,19
22,36,15
22,15,36
22,51,50
22,50,51
22,63,39
22,43,70
22,70,43
22,0,44
23,44,0
23,39,63
23,19,12
23,18,17
23,17,18
23,12,19
23,36,15
23,15,36
23,51,50
23,50,51
23,63,39
23,43,70
23,70,43
23,0,44
24,16,10
24,10,16
24,35,13
24,13,35
24,41,17
24,17,41
25,44,0
25,39,62
25,18,12
25,12,18
25,36,15
25,15,36
25,50,49
25,49,50
25,62,39
25,43,69
25,69,43
25,0,44
26,44,0
26,39,63
26,19,12
26,18,17
26,17,18
26,12,19
26,36,15
26,15,36
26,51,50
26,50,51
26,63,39
26,43,70
26,70,43
26,0,44
27,15,9
27,9,15
27,36,12
27,12,36
27,41,17
27,17,41
28,44,0
28,39,63
28,19,12
28,18,17
28,17,18
28,12,19
28,36,15
28,15,36
28,51,50
28,50,51
28,63,39
28,43,70
28,70,43
28,0,44
29,16,9
29,15,14
29,14,15
29,9,16
29,36,12
29,12,36
29,41,17
29,17,41
30,44,0
30,38,63
30,18,12
30,12,18
30,35,15
30,15,35
30,51,50
30,50,51
30,63,38
30,43,70
30,70,43
30,0,44
31,44,0
31,38,63
31,18,12
31,12,18
31,35,15
31,15,35
31,51,50
31,50,51
31,63,38
31,43,70
31,70,43
31,0,44
32,44,0
32,39,62
32,17,11
32,11,17
32,36,14
32,14,36
32,50,49
32,49,50
32,62,39
32,43,69
32,69,43
32,0,44
33,44,0
33,38,63
33,18,12
33,12,18
33,35,15
33,15,35
33,51,50
33,50,51
33,63,38
33,43,70
33,70,43
33,0,44
34,44,0
34,38,63
34,18,12
34,12,18
34,35,15
34,15,35
34,51,50
34,50,51
34,63,38
34,43,70
34,70,43
34,0,44
35,44,0
35,39,62
35,17,11
35,11,17
35,36,14
35,14,36
35,50,49
35,49,50
35,62,39
35,43,69
35,69,43
35,0,44
36,44,0
36,39,63
36,18,11
36,17,16
36,16,17
36,11,18
36,36,14
36,14,36
36,51,50
36,50,51
36,63,39
36,43,70
36,70,43
36,0,44
37,44,0
37,38,63
37,18,12
37,12,18
37,35,15
37,15,35
37,51,50
37,50,51
37,63,38
37,43,70
37,70,43
37,0,44
38,44,0
38,39,62
38,17,11
38,11,17
38,36,14
38,14,36
38,50,49
38,49,50
38,62,39
38,43,69
38,69,43
38,0,44
39,44,0
39,39,62
39,17,11
39,11,17
39,36,14
39,14,36
39,50,49
39,49,50
39,62,39
39,43,69
39,69,43
39,0,44
40,44,0
40,38,63
40,18,12
40,12,18
40,35,15
40,15,35
40,51,50
40,50,51
40,63,38
40,43,70
40,70,43
40,0,44
41,44,0
41,39,63
41,18,11
41,17,16
41,16,17
41,11,18
41,36,14
41,14,36
41,51,50
41,50,51
41,63,39
41,43,70
41,70,43
41,0,44
42,44,0
42,39,62
42,17,11
42,11,17
42,36,14
42,14,36
42,50,49
42,49,50
42,62,39
42,43,69
42,69,43
42,0,44
43,14,8
43,8,14
43,31,11
43,11,31
43,6,53
43,46,45
43,45,46
43,53,6
44,44,0
44,39,63
44,18,11
44,17,16
44,16,17
44,11,18
44,36,14
44,14,36
44,51,50
44,50,51
44,63,39
44,43,70
44,70,43
44,0,44
45,44,0
45,39,63
45,18,11
45,17,16
45,16,17
45,11,18
45,36,14
45,14,36
45,51,50
45,50,51
45,63,39
45,43,70
45,70,43
45,0,44
46,44,0
46,39,62
46,17,11
46,11,17
46,36,14
46,14,36
46,50,49
46,49,50
46,62,39
46,43,69
46,69,43
46,0,44
47,15,9
47,9,15
47,35,12
47,12,35
47,41,16
47,16,41
48,44,0
48,39,63
48,18,11
48,17,16
48,16,17
48,11,18
48,36,14
48,14,36
48,51,50
48,50,51
48,63,39
48,43,70
48,70,43
48,0,44
49,15,8
49,14,13
49,13,14
49,8,15
49,31,11
49,11,31
49,6,54
49,47,46
49,46,47
49,54,6
50,44,0
50,39,63
50,18,11
50,17,16
50,16,17
50,11,18
50,36,14
50,14,36
50,51,50
50,50,51
50,63,39
50,43,70
50,70,43
50,0,44
51,44,0
51,38,63
51,17,11
51,11,17
51,35,14
51,14,35
51,51,50
51,50,51
51,63,38
51,43,70
51,70,43
51,0,44
52,44,0
52,38,63
52,17,11
52,11,17
52,35,14
52,14,35
52,51,50
52,50,51
52,63,38
52,43,70
52,70,43
52,0,44
53,44,0
53,38,63
53,17,11
53,11,17
53,35,14
53,14,35
53,51,50
53,50,51
53,63,38
53,43,70
53,70,43
53,0,44
54,44,0
54,38,63
54,17,11
54,11,17
54,35,14
54,14,35
54,51,50
54,50,51
54,63,38
54,43,70
54,70,43
54,0,44
55,44,0
55,38,63
55,17,11
55,11,17
55,35,14
55,14,35
55,51,50
55,50,51
55,63,38
55,43,70
55,70,43
55,0,44
56,14,8
56,8,14
56,30,11
56,11,30
56,6,54
56,47,46
56,46,47
56,54,6
